Unnamed: 0.1,Engineering colleges,Total Fees,Location,Average Rating
0,IIT Bombay - Indian Institute of Technology,8.5,"Powai, Mumbai",4.7
1,"Amity University, Mumbai",6.2,"Panvel, Mumbai",4.4
2,"ICT Mumbai - Institute of Chemical Technology, Mumbai",3.4,"Matunga East, Mumbai",4.4
3,Sardar Patel College of Engineering,2.2,"Andheri West, Mumbai",4.2
4,K. J. Somaiya College of Engineering,11.,"Vidya Vihar, Mumbai",4.1
5,Sardar Patel Institute of Technology,5.9,"Andheri West, Mumbai",4.1
6,"SNDT Women's University, ChurchGate",-,"Churchgate, Mumbai",0.0
7,VIT - Vidyalankar Institute of Technology,5.4,"Wadala, Mumbai",4.2
8,"Rajiv Gandhi Institute of Technology, Mumbai",4.2,"Andheri West, Mumbai",3.4
9,Pillai College of Engineering,4.7,"Panvel, Mumbai",4.0
10,Terna Engineering College,3.7,Navi Mumbai,3.6
11,Vivekanand Education Societyâ€™s Institute of Technology,3.2,"Chembur, Mumbai",4.0
12,KJ Somaiya Institute of Engineering & Information Technology,6,"Sion, Mumbai",3.8
13,SIES Graduate School of Technology,4.8,"Nerul, Mumbai",3.6
14,Fr. Conceicao Rodrigues College of Engineering,5.6,"Bandra West, Mumbai",4.1
15,Rizvi College of Engineering,3.2,"Bandra West, Mumbai",3.4
16,Veermata Jijabai Technological Institute - VJTI Mumbai,1.9,"Matunga East, Mumbai",4.0
17,"Rustomjee Academy for Global Careers, Dahisar",-,"Dahisar West, Mumbai",4.6
18,"Indian Maritime University, Chennai- Mumbai Campus MERI",6.7,"Sewree, Mumbai",3.5
19,Dwarkadas J. Sanghvi College of Engineering,6.1,"Vile Parle West, Mumbai",4.1
20,"NMIMS Mukesh Patel School of Technology Management & Engineering, Mumbai",10.,"Vile Parle West, Mumbai",3.9
21,"SNDT Women's University, Juhu",4.3,"Juhu, Mumbai",0.0
22,Thakur College of Engineering and Technology- TCET,4.9,"Kandivali East, Mumbai",4.2
23,Ramrao Adik Institute of Technology,4.6,Navi Mumbai,4.2
24,MGM's College of Engineering and Technology,2.6,Navi Mumbai,3.0
25,TSEC Mumbai - Thadomal Shahani Engineering College,6.5,"Bandra West, Mumbai",3.8
26,St. Francis Institute of Technology,4.2,"Borivali West, Mumbai",3.8
27,Saraswati College of Engineering,3.6,Navi Mumbai,3.8
28,Datta Meghe College of Engineering,3.4,Navi Mumbai,3.2
29,Bharati Vidyapeeth College of Engineering - BVCOE,2.9,Navi Mumbai,3.7
30,M.H. Saboo Siddik College of Engineering,5.5,"Byculla, Mumbai",3.3
31,Fr. C. Rodrigues Institute of Technology,5.2,Navi Mumbai,3.5
